expressionRxns1,expressionRxns2,expressionRxns3
4.96644868816375,4.40847649236804,7.04546664582093
3.28659322192875,3.80255618217613,3.29023900236638
3.27766674776681,3.47475944584606,3.63826899593601
0.472411440263977,1.40284140927536,1.54507025967662
0.695888639118054,3.54419484748122,5.18198297819638
4.11341074166585,3.06894848441316,4.3264710089619
2.97866655859807,2.75679940682642,4.64682903850643
2.97866655859807,2.75679940682642,4.64682903850643
3.31324047308139,4.94907891594156,5.79011995614649
-1,-1,-1
6.53350045842856,7.27336594354726,4.23340960304184
6.53350045842856,7.27336594354726,4.23340960304184
3.66571555745251,5.96996713518517,3.07568582646031
6.53350045842856,7.27336594354726,4.23340960304184
0.0382569879860984,0,0
4.57122482190049,2.98894916580453,2.61479793261665
12.6849555975106,2.51670183863938,2.55305517179319
0.941042964362177,1.18030878669774,0.801195513679235
6.38527738231276,4.27173213449361,3.56270503702847
6.38527738231276,4.74531424030553,4.08369610206656
4.0656522854992,4.28060312633897,1.65023368881778
4.0656522854992,4.28060312633897,1.65023368881778
4.19980412480735,7.66258382084353,5.79011995614649
6.3692660029724,3.76612572056235,2.63694312199558
6.3692660029724,3.76612572056235,2.63694312199558
3.12611630193098,2.5197306433012,4.53341704481467
0.554324375375691,1.76724647503128,0.770091155363057
0.554324375375691,1.76724647503128,0.770091155363057
2.64066337816388,2.64222685226625,2.18394872848388
2.64066337816388,2.64222685226625,2.18394872848388
3.16733891061833,5.25510807627821,2.88182325238385
3.06922868030576,1.42778136933333,5.18718535287399
3.06922868030576,1.42778136933333,5.18718535287399
-1,-1,-1
5.76869339077236,5.46749281563312,5.35878594290402
5.76869339077236,5.46749281563312,5.35878594290402
2.74777236102495,2.90696975150157,4.53925449624946
5.1581240357233,5.68523945381773,3.02043619087457
2.74777236102495,2.90696975150157,4.53925449624946
3.45499728162494,3.63111775651118,4.24180170090017
5.56012098952125,5.65100152929236,5.75635132859362
3.86104386423223,3.1365573305659,3.49228765810161
-1,-1,-1
3.26840724489892,3.24151380278943,3.86233679829806
3.26840724489892,3.24151380278943,3.86233679829806
3.26840724489892,3.24151380278943,3.86233679829806
3.06887883171692,4.46719391056201,2.67980088089395
4.54734807076613,5.39795081988559,5.9197880346658
2.94499910938373,4.10827547875248,4.87907287620138
3.35170896146412,4.02800885409471,2.95848321974519
3.48094377331677,8.08076305393546,4.37486190050751
3.48094377331677,8.08076305393546,4.37486190050751
2.96901485610628,3.31708051511288,4.04959279077895
2.96901485610628,3.31708051511288,4.04959279077895
4.18875484300148,3.95297142839548,4.23405976894959
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
3.31723646720593,5.72348410642791,6.67011991208895
2.98944044656226,3.87883773326955,3.48934630412368
