gene_used1,gene_used2,gene_used3
8639,8639,26
,,
,,
,,
,,
,,
2180,2180,2180
2180,23305,2180
2180,23305,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
2180,2180,2180
11001,11001,11001
2180,2180,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
2180,23305,2180
11001,11001,11001
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
116285,116285,116285
2181,2181,2181
5167,5169,5167
60481,60481,60481
60481,60481,60481
60481,60481,60481
60481,60481,60481
5447,285440,285440
1579,1579,1579
1579,1579,1579
128,128,128
33,33,33
51,51,51
34,34,34
34,34,34
34,34,34
51,51,51
3032,3030,3032
51,51,51
3032,3030,3032
34,34,34
51,51,51
3032,3030,3032
51,51,51
34,34,34
51,51,51
34,34,34
51,51,51
10455,3030,10455
51,51,51
51,51,51
51,51,51
51,51,51
51,51,51
51,51,51
2194,2194,2194
2194,2194,2194
2194,2194,2194
2194,2194,2194
2194,2194,2194
2194,2194,2194
226,226,226
226,226,226
226,226,226
229,229,229
2203,2203,2203
5209,2203,5209
2235,2235,2235
,,
10840,10840,10840
79901,79901,79901
197258,197258,197258
125061,125061,125061
80308,80308,80308
1719,1719,1719
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
2356,2356,2356
9453,9453,9453
,,
10841,10841,10841
10588,10588,10588
10840,10840,160428
4522,4522,4522
4522,25902,25902
2519,2519,2519
2517,2517,2517
2519,2519,2519
2517,2517,2517
2271,2271,2271
2184,2184,2184
2271,2271,2271
2523,2523,2523
2523,2523,2523
2523,2523,2523
2523,2523,2523
2523,2523,2523
2523,2523,2523
2523,2523,2523
2525,2525,2525
2525,2525,2525
2525,2525,2525
2525,2525,2525
2525,2525,2525
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
10690,10690,10690
,,
,,
,,
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
8704,9334,2683
,,
,,
2819,2819,2819
,,
5832,5832,5832
132789,10007,10007
9563,9563,9563
2539,2539,2539
2539,9563,2539
92579,92579,92579
2593,2593,2593
9514,9514,9514
9514,9514,9514
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2720,2720,2720
2581,2581,2581
2583,2583,2583
2583,2583,2583
2583,2583,2583
2583,2583,2583
2584,2585,2584
55790,55790,55454
337876,55790,55454
337876,55790,55454
337876,55790,55454
337876,55790,55454
117248,114805,2591
10327,231,10327
2592,2592,2592
126792,126792,126792
11285,11285,11285
7360,7360,7360
8972,8972,8972
9197,9197,9197
9197,9197,9197
9197,9197,9197
9197,9197,9197
2597,2597,2597
2618,2618,2618
175,175,175
175,175,175
175,175,175
2629,2629,2629
2629,2629,2629
26301,26301,26301
223,224,220
217,217,217
2731,2731,2731
2731,2731,2731
2731,2731,2731
2731,2731,2731
2731,2731,2731
2731,2731,2731
2651,2651,2651
9945,2673,2673
7264,7264,7264
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
8836,8836,8836
2998,2997,2997
,,
2687,2687,2687
,,
6470,6470,6470
6470,6472,6472
6470,6470,6470
6472,6472,6472
2987,2987,2987
2987,2987,2987
223,224,220
217,217,217
2717,2717,2717
2720,2720,2720
2632,2632,2632
2990,2990,2990
2990,2990,2990
2990,2990,2990
2990,2990,2990
2990,2990,2990
2990,2990,2990
2990,2990,2990
,,
26035,26035,26035
337876,54480,54480
337876,54480,54480
337876,54480,54480
337876,54480,54480
2131,2131,2132
2131,2131,2132
2131,2131,2132
2131,2131,2132
26229,27087,26229
4669,4669,4669
4669,4669,4669
4669,4669,4669
4669,4669,4669
4669,4669,4669
3340,8509,8509
,,
,,
2137,2135,2137
2131,2137,2132
2131,2137,2132
2131,2137,2132
2131,2137,2132
178,178,178
2998,2997,2997
,,
2752,2752,2752
5836,5834,5834
5836,5834,5834
,,
5832,5832,5832
2730,2729,2730
2571,2571,2571
2746,2746,2746
2746,2746,2746
10841,10841,10841
2744,2744,2744
5471,5471,5471
2639,2639,2639
3945,3945,3939
51179,51179,51179
2628,2628,2628
23464,23464,23464
,,
9380,9380,9380
,,
51179,51179,51179
2710,2710,2710
2710,2710,2710
,,
3029,3029,84264
3029,3029,3029
2762,2762,2762
51292,51292,51292
8833,8833,8833
5226,5226,5226
27232,27232,27232
57678,57678,129642
57678,137964,137964
,,
284098,284098,284098
80055,80055,80055
